Type,Bed,Bath,Size,BER,Asking Price,Not Full Market Price,VAT Exclusive,latitude,longitude,ifsc_drive_distance_km,ifsc_walk_distance_km,ifsc_bike_distance_km,ifsc_transit_distance_km,Airport_distance_km,nearest_coast_name,coast_distance_km,eircode_area,month_sin,month_cos,day_sin,day_cos,Price_Difference_%
Detached,5.0,2.0,155.0,D2,875000.0,No,No,53.2729568,-6.1235515,14.927,13.329,14.321,14.642,43.64,Dalkey,2.175,A96,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,10.285714285714285
Semi-D,3.0,2.0,123.8,D1,695000.0,No,No,53.2832362,-6.232869699999999,9.551,9.123,9.377,9.415,33.986,Blackrock,6.268,D16,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,6.474820143884892
Detached,4.0,2.0,137.0,D1,795000.0,No,No,53.2853694,-6.2054594,9.168,9.262,9.525,11.644,36.642,Blackrock,3.968,A94,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,0.628930817610063
End of Terrace,2.0,1.0,76.0,Unknown,410000.0,No,No,53.3836881,-6.2467796,5.103,4.735,4.767,5.421,6.648,Clontarf Seafront,5.819,D09,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,10.731707317073171
Apartment,1.0,1.0,57.0,C1,245000.0,No,No,53.4031344,-6.156973199999999,14.676,9.686,9.823,10.834,11.583,Bull Island,7.765,D13,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,8.16326530612245
Semi-D,3.0,1.0,98.0,E1,654950.0,No,No,53.2802421,-6.22778,10.118,9.33,9.28,10.337,34.554,Blackrock,6.836,D16,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,9.932055882128408
Detached,4.0,2.0,127.0,C3,535000.0,No,No,53.2784481,-6.294870299999999,10.777,9.87,11.03,11.28,28.124,Ringsend,10.062,D16,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,22.429906542056074
Semi-D,3.0,1.0,115.0,C3,1025000.0,No,No,53.2819654,-6.1177712,13.884,13.088,13.658,14.228,44.902,Dún Laoghaire,2.222,A96,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,9.268292682926829
Semi-D,3.0,3.0,99.0,C1,399000.0,No,No,53.3498807,-6.4249757,27.575,13.611,13.735,14.368,19.835,Ringsend,28.575,K78,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,26.31578947368421
Apartment,2.0,1.0,60.0,C2,265000.0,No,No,53.5821272,-6.1328904,33.428,31.347,32.063,30.984,26.541,Ringsend,34.428,K34,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,5.660377358490567
