Address,Type,Bed,Bath,Size,BER,Built,Sold Date,Asking Price,Sold Price
"34 Oak House, Carrickmines Green, Glenamuck Rd Dublin 18, Dublin 18, Dublin",Apartment,2,2,82.0 m²,B2,—,10/01/2025,"€425,000","€425,000"
"58 Whatley Hall, Archerswood, Clonee Dublin 15, Dublin 15, Dublin",Apartment,2,2,81.0 m²,—,—,10/01/2025,"€290,000","€305,000"
"2 Morehampton Terrace, Donnybrook, Dublin 4, Dublin 4, Dublin",Terrace,3,2,134.0 m²,B2,—,10/01/2025,"€1,300,000","€1,300,000"
"62 Ormond Avenue, Rush, County Dublin, Dublin",End of Terrace,3,3,124.0 m²,—,—,10/01/2025,"€525,000","€453,744"
"50 Kincora Ave, Clontarf, Dublin 3, Dublin 3, Dublin",Semi-D,5,1,140.0 m²,E1,—,10/01/2025,"€800,000","€885,000"
"61 Hampton Wood Park, St Margarets Rd, Finglas Dublin 11, Dublin 11, Dublin",Apartment,2,2,64.0 m²,C1,—,10/01/2025,"€259,000","€270,000"
"10 The Haven, Malahide, Dublin, Dublin",Terrace,3,3,108.0 m²,B3,—,10/01/2025,"€710,000","€805,000"
"16 Herbert Park Mews, Eglinton Terrace, Donnybrook Dublin 4, Dublin 4, Dublin",Apartment,2,1,55.0 m²,—,—,10/01/2025,"€399,950","€555,000"
"6 Pakenham, Monkstown, Dublin, Dublin",Apartment,2,1,63.0 m²,C2,—,10/01/2025,"€425,000","€485,000"
"47 Elmfield Walk, Clare Hall, Dublin 13, Dublin 13, Dublin",Semi-D,3,2,92.0 m²,D1,—,10/01/2025,"€425,000","€500,000"
"1 Dun Emer Park, Dundrum, Dublin 16, Dublin 16, Dublin",Semi-D,5,2,140.0 m²,B2,—,10/01/2025,"€850,000","€1,060,000"
"73 Casino Park, Malahide Rd, Dublin 3, Dublin 3, Dublin",Terrace,2,1,82.0 m²,B2,—,10/01/2025,"€375,000","€430,000"
"34 Rathlin Rd, Glasnevin, Dublin 9, Dublin 9, Dublin",Terrace,2,1,71.2 m²,F,—,10/01/2025,"€495,000","€470,000"
"39 Barons Hall Park, Balbriggan, Dublin, Dublin",Apartment,2,1,55.0 m²,—,—,10/01/2025,"€210,000","€220,000"
"5 Cruise Park Hall, Tyrellstown, Dublin 15, Dublin 15, Dublin",Apartment,2,2,61.0 m²,—,—,10/01/2025,"€225,000","€250,000"
"41 Russell Terrace, Kettles Lane, Kinsealy, Dublin",Apartment,2,1,67.0 m²,—,—,10/01/2025,"€269,950","€275,000"
"Apt 52 Les Buissonnets, Sweetmans Ave, Blackrock, Dublin",Apartment,3,2,136.0 m²,—,—,10/01/2025,"€750,000","€750,000"
